time_s,lat_deg,lon_deg,alt_m,Px_m,Py_m,Pz_m,roll_deg,pitch_deg,yaw_deg,Bx_true_nT,By_true_nT,Bz_true_nT,B_total_true_nT,B_proj_D1_nT,B_proj_D2_nT,B_proj_D3_nT,B_proj_D4_nT,Bx_meas_nT,By_meas_nT,Bz_meas_nT,B_total_meas_nT
0.0,23.0225,72.5714,1000.0,0.0,0.0,-0.0,0.0,0.0,0.0,36642.96350895107,258.9333395927034,26371.18141311001,45146.572741636,36411.036626605855,5724.311821814635,-36347.08422087483,-6059.6847881698695,36607.81070394636,172.91295830118432,26402.57028159007,45135.98809045196
1.0,23.02303898917048,72.5714,1001.0,60.00000000077918,0.0,-1.0,0.0,5.0,0.0,34204.79363640004,258.9893152477539,29465.2267650079,45146.81131029592,36866.193317217774,2810.957745038209,-36350.03462083132,-2873.3334992224586,34164.92699183083,250.51276557934577,29242.186371791624,44971.21809341442
2.0,23.023577978340946,72.5714,1002.0,120.00000000014214,0.0,-2.0,0.0,5.0,0.0,34198.99083787496,298.7892801366164,29488.36438635327,45157.766591643216,37102.86741386537,2494.244246299706,-36374.46277975678,-2839.1248638087745,34126.03384352365,464.7461467040292,29507.20070641049,45116.26168465855
3.0,23.02411696751141,72.5714,1003.0,179.99999999915102,0.0,-3.0,0.0,5.0,0.0,34128.66686655216,293.49495064076314,29441.229002589946,45073.69528402447,36897.55127222386,2401.8164066565164,-36587.07921598975,-2812.095322576284,34077.46840055535,312.09432584379243,29562.088389950088,45114.16989632298
4.0,23.02465595668189,72.5714,1004.0,240.00000000028427,0.0,-4.0,0.0,5.0,0.0,34159.38655301397,314.71811592262804,29417.25574359556,45081.45597310303,37003.01257033808,2295.155815392674,-36523.24242694247,-3058.672447239413,34156.07797785798,538.3589657745532,29519.526694919485,45147.86760742537
5.0,23.025194945852363,72.5714,1005.0,300.0000000003553,0.0,-5.0,0.0,5.0,0.0,34125.56290245758,346.55797701320256,29464.391583083867,45086.85525962444,36986.859139786655,2483.41443963684,-36438.18003477284,-2959.5554018751445,34150.84967690902,443.7601062742001,29437.099522127075,45089.02621439469
6.0,23.025733935022835,72.5714,1006.0,360.0000000004264,0.0,-6.0,0.0,5.0,0.0,34089.87152843685,362.1322021317847,29436.7341724846,45041.88938420183,36810.035992529854,2431.7028739293014,-36524.04872852486,-2795.4580095042693,34018.01722321771,281.3467119760501,29491.16310849592,45022.58714538056
7.0,23.026272924193307,72.5714,1007.0,420.0000000004975,0.0,-7.0,0.0,5.0,0.0,34093.26889485848,348.96317284819054,29464.80781633328,45062.70807315716,36965.47754134401,2560.874184857061,-36620.85338038365,-2814.7609011276545,34191.53424772111,259.162812061654,29536.09770178339,45183.06371889289
8.0,23.02681191336378,72.5714,1008.0,480.00000000056855,0.0,-8.0,0.0,5.0,0.0,34141.08714406759,400.11036182764303,29418.91717114956,45069.35330358555,36890.489986251625,2598.078809918263,-36461.08379581104,-3106.7299948156965,34232.4178257338,406.1907586250341,29291.90847710104,45055.95768995343
9.0,23.02735090253425,72.5714,1009.0,540.0000000002856,0.0,-9.0,0.0,5.0,0.0,34142.53834334444,372.254785947528,29465.00791771505,45100.31252378876,36901.17485741755,2575.567845120464,-36452.19812398134,-2921.32655603627,34143.167324244336,344.13054204837755,29382.71713092215,45046.84635750989
